Loss,TrainTime,BackPropTime,K,Iter,Nodes
4.2533609718084335,0.03492499999999987,0.07486799999999993,3,0,18
3.5783952593803408,0.039879999999999916,0.06818900000000006,3,1,18
2.7809948325157166,0.042748999999999704,0.06606900000000016,3,2,14
5.9794338881969455,0.040157999999999916,0.0626190000000002,3,3,15
3.5528342008590696,0.03092700000000015,0.0755119999999998,3,4,15
3.643883800506592,0.039371000000000045,0.08477200000000007,3,5,15
2.867161750793457,0.033581000000000305,0.07360799999999967,3,6,16
4.185821175575256,0.04741799999999996,0.07891700000000013,3,7,15
5.905455648899078,0.032405999999999935,0.05374699999999999,3,8,11
4.292614585161209,0.033878000000000075,0.07366499999999965,3,9,13
3.316220998764038,0.03388200000000019,0.05781099999999961,3,10,13
5.170685541629791,0.0401950000000002,0.06486999999999998,3,11,14
4.340969562530518,0.03230500000000003,0.061482999999999954,3,12,11
1.1281955659389495,0.04118699999999986,0.08253599999999972,3,13,17
5.192479825019836,0.03218399999999999,0.06084600000000018,3,14,13
6.718792712688446,0.03166899999999995,0.05591299999999988,3,15,11
2.736063700914383,0.032113999999999976,0.07015700000000002,3,16,14
2.6706716418266296,0.034559999999999924,0.10263899999999992,3,17,15
5.057439982891083,0.03405899999999962,0.0719780000000001,3,18,13
3.4875560283660887,0.03778299999999968,0.07922699999999994,3,19,17
1.904789251089096,0.03427200000000008,0.06952000000000025,3,20,14
2.542034316062927,0.035013999999999434,0.06267099999999992,3,21,13
4.416713798046112,0.03678999999999988,0.06318399999999968,3,22,15
2.623448997735977,0.03580400000000061,0.07430799999999937,3,23,15
4.243902659416198,0.035950999999999844,0.08110100000000031,3,24,17
5.926221287250518,0.032097000000000264,0.07119499999999945,3,25,15
3.3930950820446015,0.031784000000000034,0.07020300000000024,3,26,13
3.403478878736496,0.0346820000000001,0.07235399999999981,3,27,13
5.787381905317306,0.03399799999999953,0.08658400000000022,3,28,10
1.7182103008031846,0.034912000000000276,0.07267900000000083,3,29,11
4.214068269729614,0.03772099999999945,0.07327100000000009,3,30,12
5.792535156011581,0.031486000000000125,0.07104299999999952,3,31,12
4.140571892261505,0.03822100000000006,0.06499699999999997,3,32,16
