Branching Factor,Num Examples,Accuracy,Training Time (s),Test Time (s)
50,1,0.0891,0.00016117095947265625,0.6501820087432861
50,1,0.1067,0.00017786026000976562,0.7801671028137207
50,1,0.1134,0.00015211105346679688,0.7495660781860352
50,1,0.1279,0.00013709068298339844,0.62689208984375
50,1,0.1068,0.00012803077697753906,0.7243461608886719
50,1,0.1398,0.00013899803161621094,0.7262649536132812
50,1,0.1048,0.0001461505889892578,0.6482648849487305
50,1,0.1027,0.00017118453979492188,0.5934391021728516
50,1,0.1015,0.00017714500427246094,0.729741096496582
50,1,0.107,0.00014209747314453125,0.7441740036010742
50,10,0.1316,0.0010080337524414062,1.114185094833374
50,10,0.1482,0.0007319450378417969,1.476923942565918
50,10,0.1553,0.0008211135864257812,1.5729730129241943
50,10,0.1318,0.0008008480072021484,1.4287950992584229
50,10,0.1486,0.0009100437164306641,2.003093957901001
50,10,0.0991,0.0007941722869873047,1.8402090072631836
50,10,0.1063,0.0007898807525634766,1.449774980545044
50,10,0.1875,0.0008311271667480469,1.633876085281372
50,10,0.1411,0.00084686279296875,1.5333340167999268
50,10,0.1609,0.0007648468017578125,1.556532859802246
50,100,0.1788,0.02039790153503418,4.664055109024048
50,100,0.1797,0.01990485191345215,4.113593101501465
50,100,0.1806,0.01910400390625,3.9699339866638184
50,100,0.1718,0.01831793785095215,3.9736809730529785
50,100,0.1469,0.01730203628540039,3.757126808166504
50,100,0.16,0.01789999008178711,4.158881187438965
50,100,0.1964,0.024272918701171875,4.982486963272095
50,100,0.164,0.021806001663208008,4.769475221633911
50,100,0.1627,0.021810054779052734,5.040169954299927
50,100,0.1852,0.01828622817993164,3.9849600791931152
50,1000,0.2048,0.4790799617767334,10.0203378200531
50,1000,0.1907,0.528501033782959,12.017251014709473
50,1000,0.2165,0.46863293647766113,10.156505107879639
50,1000,0.1997,0.4481689929962158,10.09016489982605
50,1000,0.2032,0.5077471733093262,11.673394918441772
50,1000,0.2053,0.47749805450439453,10.46075987815857
50,1000,0.22,0.5770230293273926,12.958537101745605
50,1000,0.2019,0.5647609233856201,11.51467490196228
50,1000,0.2041,0.41001296043395996,8.990603923797607
50,1000,0.2148,0.420212984085083,9.40212893486023
50,5000,0.2325,6.316307067871094,24.646395921707153
50,5000,0.227,4.251875877380371,16.74246597290039
50,5000,0.2248,4.533116102218628,18.68316102027893
50,5000,0.2251,4.12987494468689,17.543919801712036
50,5000,0.2141,3.6117238998413086,15.962748050689697
50,5000,0.2299,4.044210910797119,16.56729292869568
50,5000,0.2261,4.099257946014404,17.41877794265747
50,5000,0.2191,4.466363191604614,18.294940948486328
50,5000,0.2298,4.828896999359131,19.63401699066162
50,5000,0.2324,3.7725000381469727,15.589827060699463
50,10000,0.2453,12.769597053527832,24.47858190536499
50,10000,0.2529,12.662596940994263,23.440786838531494
50,10000,0.2451,9.532917022705078,20.043106079101562
50,10000,0.2405,11.345442056655884,22.56112003326416
50,10000,0.2448,8.67146110534668,17.534164905548096
50,10000,0.2412,9.442589044570923,20.183044910430908
50,10000,0.252,10.378842115402222,21.566001176834106
50,10000,0.2552,12.405601978302002,24.208264112472534
50,10000,0.2424,13.10538911819458,25.902045965194702
50,10000,0.2436,13.440153121948242,26.287611961364746
50,20000,0.2621,26.762981176376343,25.487823963165283
50,20000,0.2576,27.714508056640625,26.69227695465088
50,20000,0.2474,26.877250909805298,26.09575605392456
50,20000,0.259,28.243883848190308,26.9500150680542
50,20000,0.2725,28.984575986862183,26.879405975341797
50,20000,0.2618,27.900568962097168,26.103524923324585
50,20000,0.2584,29.759490966796875,27.18635892868042
50,20000,0.2605,22.82476305961609,22.97996997833252
50,20000,0.2535,24.93826699256897,25.03491187095642
50,20000,0.2624,24.58573007583618,24.247002124786377
50,30000,0.2639,37.01647591590881,24.637104988098145
50,30000,0.2622,45.15829610824585,28.62166118621826
50,30000,0.2664,46.83508801460266,29.03488278388977
50,30000,0.2719,38.5755398273468,25.125023126602173
50,30000,0.2666,39.46121001243591,26.538717031478882
50,30000,0.2591,48.045624017715454,29.852166175842285
50,30000,0.2668,43.621315002441406,28.125389099121094
50,30000,0.2635,43.88801383972168,27.72230887413025
50,30000,0.2641,42.558215856552124,27.863749980926514
50,30000,0.2711,39.848150968551636,25.41160798072815
50,40000,0.2777,64.69877004623413,30.625049114227295
50,40000,0.2624,54.040512800216675,26.81224513053894
50,40000,0.266,48.41096806526184,23.60845708847046
50,40000,0.2797,67.76731085777283,31.37914204597473
50,40000,0.2739,64.60087299346924,29.564162015914917
50,40000,0.2785,64.73563122749329,30.520744800567627
50,40000,0.2816,63.318938970565796,29.738765954971313
50,40000,0.2769,58.29067778587341,27.519348859786987
50,40000,0.28,54.37548017501831,26.98937702178955
50,40000,0.2732,62.9526731967926,31.046133041381836
50,50000,0.271,70.82477688789368,28.012863874435425
50,50000,0.2767,80.85473012924194,32.18477988243103
50,50000,0.2769,80.25308513641357,30.07377815246582
50,50000,0.2802,88.26762413978577,32.32350707054138
50,50000,0.2806,81.61031007766724,30.140367031097412
50,50000,0.2736,78.71510291099548,29.185697078704834
50,50000,0.2701,82.1534321308136,30.761982202529907
50,50000,0.2735,81.22638010978699,30.800238847732544
50,50000,0.2688,69.89167308807373,26.608134984970093
50,50000,0.2739,80.78544402122498,29.6166250705719
