Branching Factor,Num Examples,Accuracy,Training Time (s),Test Time (s)
20,1,0.102,0.00016307830810546875,0.7089011669158936
20,1,0.1026,0.00014090538024902344,0.8072168827056885
20,1,0.1365,0.00013685226440429688,0.7053511142730713
20,1,0.0996,0.00030112266540527344,0.80045485496521
20,1,0.1099,0.0001380443572998047,0.7832510471343994
20,1,0.1193,0.0002028942108154297,0.664168119430542
20,1,0.0978,0.00013494491577148438,0.7106311321258545
20,1,0.1198,0.00014591217041015625,0.71315598487854
20,1,0.0827,0.000164031982421875,0.7315330505371094
20,1,0.1144,0.00012302398681640625,0.6724460124969482
20,10,0.1871,0.0008139610290527344,1.4502019882202148
20,10,0.1237,0.0007390975952148438,1.465104103088379
20,10,0.1395,0.0006091594696044922,1.4069280624389648
20,10,0.1423,0.0007610321044921875,1.6579501628875732
20,10,0.1179,0.0008420944213867188,1.5850028991699219
20,10,0.1357,0.0008120536804199219,1.3964390754699707
20,10,0.1397,0.0006899833679199219,1.5155928134918213
20,10,0.141,0.0007288455963134766,1.5093238353729248
20,10,0.1411,0.000865936279296875,1.9066848754882812
20,10,0.1309,0.0008158683776855469,1.4494290351867676
20,100,0.1704,0.021567821502685547,4.625684976577759
20,100,0.1854,0.017115116119384766,4.132269859313965
20,100,0.1199,0.019345998764038086,4.0146660804748535
20,100,0.1552,0.01728510856628418,3.838937997817993
20,100,0.1847,0.029619932174682617,6.2273359298706055
20,100,0.1637,0.020847082138061523,4.645053863525391
20,100,0.171,0.0190579891204834,4.152631044387817
20,100,0.168,0.021053075790405273,4.699914932250977
20,100,0.1746,0.01754903793334961,3.8265161514282227
20,100,0.1635,0.01989912986755371,3.7843918800354004
20,1000,0.2086,0.4736781120300293,9.733883142471313
20,1000,0.2057,0.4800398349761963,10.085036993026733
20,1000,0.2158,0.5257160663604736,10.463079929351807
20,1000,0.2186,0.4742858409881592,9.459460020065308
20,1000,0.207,0.47483205795288086,9.465943098068237
20,1000,0.2031,0.5107600688934326,9.954499006271362
20,1000,0.1984,0.4019901752471924,8.635540008544922
20,1000,0.2201,0.41615986824035645,9.10163688659668
20,1000,0.2115,0.4692881107330322,9.304188966751099
20,1000,0.2116,0.47257518768310547,10.099803924560547
20,5000,0.2346,3.422379970550537,12.94624400138855
20,5000,0.2296,3.5365521907806396,13.389219045639038
20,5000,0.2292,3.3183951377868652,12.643508911132812
20,5000,0.2279,3.437697172164917,13.578184127807617
20,5000,0.2291,3.3053441047668457,12.68274998664856
20,5000,0.2361,3.373105049133301,12.916265964508057
20,5000,0.2446,3.569723129272461,14.199527978897095
20,5000,0.2336,3.3613831996917725,13.196741819381714
20,5000,0.232,3.4684391021728516,13.252964973449707
20,5000,0.2271,3.4473159313201904,13.211709976196289
20,10000,0.2458,7.763473987579346,14.285511016845703
20,10000,0.2383,8.313235998153687,16.096309900283813
20,10000,0.2441,7.505979061126709,14.144356966018677
20,10000,0.2456,8.11376404762268,14.816932916641235
20,10000,0.251,7.376583099365234,13.807605028152466
20,10000,0.2457,7.9203550815582275,15.398406028747559
20,10000,0.25,8.201807022094727,15.682646989822388
20,10000,0.2454,7.31037712097168,13.820998907089233
20,10000,0.2488,8.115254163742065,15.198496103286743
20,10000,0.2477,8.890058994293213,16.32695198059082
20,20000,0.2577,16.74763798713684,15.555110931396484
20,20000,0.2613,18.30083918571472,16.575457096099854
20,20000,0.2524,19.00095796585083,17.682478189468384
20,20000,0.2572,18.97379779815674,16.873219966888428
20,20000,0.255,18.352005004882812,16.72784686088562
20,20000,0.2537,16.844502925872803,15.449630975723267
20,20000,0.2618,18.714726209640503,17.180277109146118
20,20000,0.2524,18.674684047698975,17.05283784866333
20,20000,0.2547,18.674073934555054,17.145405054092407
20,20000,0.2564,19.23250102996826,17.37529492378235
20,30000,0.2728,28.737706184387207,17.302545070648193
20,30000,0.2631,29.454867839813232,17.596544981002808
20,30000,0.2598,27.896965980529785,16.79695701599121
20,30000,0.2631,29.091071128845215,17.423553943634033
20,30000,0.266,29.306872844696045,17.52983593940735
20,30000,0.2691,27.88260006904602,16.799866914749146
20,30000,0.2653,28.97243905067444,17.79784083366394
20,30000,0.2686,28.145781993865967,16.704195022583008
20,30000,0.2604,26.132288217544556,15.583997011184692
20,30000,0.2602,29.782585859298706,17.83770990371704
20,40000,0.2667,40.59671902656555,18.18721103668213
20,40000,0.2719,39.32595896720886,18.257780075073242
20,40000,0.2744,40.69665312767029,17.990041971206665
20,40000,0.273,41.27369999885559,18.47763991355896
20,40000,0.2768,39.21019792556763,17.70876383781433
20,40000,0.273,42.29342198371887,18.986361980438232
20,40000,0.2629,41.81892800331116,18.94482707977295
20,40000,0.2713,38.98659610748291,17.748684883117676
20,40000,0.2708,40.79275703430176,18.217952013015747
20,40000,0.268,40.8395459651947,18.066016912460327
20,50000,0.2753,52.147687911987305,18.64387011528015
20,50000,0.2778,51.11883211135864,18.31216597557068
20,50000,0.2813,52.6936559677124,19.048385858535767
20,50000,0.2782,52.615686893463135,18.509047031402588
20,50000,0.2717,47.942922830581665,17.46927809715271
20,50000,0.2755,52.18202209472656,18.52609920501709
20,50000,0.2746,50.124059200286865,18.116518020629883
20,50000,0.2871,50.50339198112488,17.993016958236694
20,50000,0.2763,55.09692192077637,19.583131074905396
20,50000,0.273,55.572458028793335,20.021347999572754
