Loss,TrainTime,BackPropTime,K,Iter,Nodes
8.271875070915092,42.234634,90.17097100000001,-1,1,654
8.235033301496879,58.151105,124.57886900000003,-1,2,664
8.142928956171847,38.21176799999995,69.47484000000003,-1,3,724
8.290295947984326,47.773060999999984,95.62359099999998,-1,4,709
8.363979496343527,38.57356500000003,88.08473000000004,-1,5,731
8.308716825071023,45.69551899999999,75.80019600000003,-1,6,672
8.327137707872781,54.69259699999998,100.72698900000012,-1,7,734
8.308716805990553,43.99321800000007,76.18686099999991,-1,8,730
8.41924212376098,47.39323399999989,103.79105299999992,-1,9,747
8.198191520648543,44.70686099999989,104.88004000000001,-1,10,766
8.548188303357572,56.77317300000004,109.04331699999989,-1,11,763
8.08766626580141,44.612145000000055,102.38636300000007,-1,12,762
8.216612437779084,39.17967899999985,61.337209999999914,-1,13,808
8.06924538492097,49.0521490000001,93.47267099999976,-1,14,777
8.400821179918829,69.25979299999972,152.2075359999999,-1,15,773
8.179770691243816,41.203101999999944,77.8033260000002,-1,16,790
8.161349768398214,43.62984400000005,83.99247500000001,-1,17,784
8.40082126575301,37.61174000000028,68.1399879999999,-1,18,783
8.400821210450376,51.74684499999967,103.82461300000023,-1,19,772
8.253454197646585,37.76935700000013,80.63268799999969,-1,20,784
8.456083896981669,40.413752000000386,76.19824999999992,-1,21,794
8.437663002749789,57.360181999999895,134.73368400000027,-1,22,807
8.290295923194034,42.95756600000004,78.3110300000003,-1,23,779
8.585030047957552,45.4502309999998,104.65168499999982,-1,24,807
8.290295919382828,46.667781000000105,91.32493900000009,-1,25,795
8.400821240969702,52.425526999999875,117.5043499999997,-1,26,793
8.271875061371365,50.664208000000144,93.26915400000007,-1,27,810
8.290295936545473,40.50282100000004,81.47930499999939,-1,28,821
8.271875076637137,53.19182499999988,105.44178700000066,-1,29,815
8.23503328052652,49.211513000000195,114.51063400000021,-1,30,815
8.308716800280731,50.568137000000206,79.72109999999975,-1,31,834
8.1797706321195,45.33131200000025,93.28875900000003,-1,32,808
8.2902959632501,43.68264999999974,76.36791300000004,-1,33,817
8.327137746007532,34.32450700000027,66.39725200000066,-1,34,806
8.271875057560159,42.94623599999977,65.88683500000025,-1,35,811
8.069245358237298,45.59556900000007,99.31586900000002,-1,36,804
8.198191575952922,43.38774999999987,71.67298899999969,-1,37,782
8.032403590731672,46.55593599999975,94.58009000000038,-1,38,823
