Branching Factor,Num Examples,Accuracy,Training Time (s),Test Time (s)
2,1,0.1,0.0002460479736328125,0.4032869338989258
2,1,0.108,0.000164031982421875,0.8252890110015869
2,1,0.1354,0.00014209747314453125,0.7092909812927246
2,1,0.1069,0.00015592575073242188,0.8137450218200684
2,1,0.0994,0.0001308917999267578,0.8294768333435059
2,1,0.0876,0.00017499923706054688,0.6709029674530029
2,1,0.0912,0.0001380443572998047,0.7545459270477295
2,1,0.1047,0.00016307830810546875,0.6199121475219727
2,1,0.1196,0.0002071857452392578,0.686939001083374
2,1,0.1509,0.00016880035400390625,0.7407031059265137
2,10,0.12,0.0008559226989746094,1.5312399864196777
2,10,0.1092,0.0007991790771484375,1.522841215133667
2,10,0.1191,0.0009701251983642578,1.3535668849945068
2,10,0.1481,0.0009119510650634766,1.553821086883545
2,10,0.1169,0.0008258819580078125,1.3012897968292236
2,10,0.0908,0.0011780261993408203,1.3662629127502441
2,10,0.0981,0.0008258819580078125,1.6384048461914062
2,10,0.1332,0.0007638931274414062,1.3594090938568115
2,10,0.0965,0.001580953598022461,1.5264689922332764
2,10,0.1311,0.0010008811950683594,1.5844848155975342
2,100,0.172,0.01646590232849121,3.204077959060669
2,100,0.1502,0.015114068984985352,3.261474847793579
2,100,0.1564,0.020350933074951172,3.959561824798584
2,100,0.1589,0.016813993453979492,3.3419880867004395
2,100,0.1527,0.015423059463500977,3.0079379081726074
2,100,0.1519,0.017271995544433594,3.560377836227417
2,100,0.1556,0.015475034713745117,3.3003029823303223
2,100,0.1537,0.017686843872070312,3.501051902770996
2,100,0.1654,0.016173124313354492,3.1224281787872314
2,100,0.1465,0.016088008880615234,3.1150190830230713
2,1000,0.1836,0.2862229347229004,5.5462799072265625
2,1000,0.1929,0.29782700538635254,5.7040698528289795
2,1000,0.1831,0.31888794898986816,5.533697843551636
2,1000,0.1844,0.3410041332244873,5.860363960266113
2,1000,0.1917,0.26964783668518066,5.118009090423584
2,1000,0.1884,0.29593396186828613,5.759591102600098
2,1000,0.1899,0.3940749168395996,6.255676031112671
2,1000,0.1695,0.31058406829833984,6.070658922195435
2,1000,0.1893,0.34514594078063965,5.827395915985107
2,1000,0.192,0.33163022994995117,6.224911212921143
2,5000,0.1957,2.463139057159424,7.663338899612427
2,5000,0.2204,2.4105939865112305,7.701879024505615
2,5000,0.1951,2.280539035797119,7.504472970962524
2,5000,0.2067,2.1466269493103027,7.736126899719238
2,5000,0.1998,2.144735097885132,7.79046893119812
2,5000,0.2049,2.3678359985351562,7.90781307220459
2,5000,0.2099,2.270585060119629,7.9807448387146
2,5000,0.2026,2.208595037460327,7.816075086593628
2,5000,0.2008,2.5152909755706787,8.300678968429565
2,5000,0.2131,2.5131430625915527,7.775979995727539
2,10000,0.2152,5.0268518924713135,8.171722888946533
2,10000,0.2177,5.149672031402588,8.581950187683105
2,10000,0.2161,4.850172996520996,8.566170930862427
2,10000,0.2108,4.985504150390625,7.964112043380737
2,10000,0.2164,4.557553052902222,7.924597978591919
2,10000,0.2264,4.7135210037231445,8.148432970046997
2,10000,0.2149,4.378880023956299,7.706011056900024
2,10000,0.2109,4.5789830684661865,7.952532052993774
2,10000,0.222,4.608450889587402,7.896630048751831
2,10000,0.2162,4.235472917556763,7.410550117492676
2,20000,0.2235,9.710293054580688,8.405029058456421
2,20000,0.2303,10.154642105102539,8.631046056747437
2,20000,0.2309,10.042335987091064,8.386528015136719
2,20000,0.2274,10.051460027694702,8.62631106376648
2,20000,0.2279,9.823415994644165,8.592460870742798
2,20000,0.2286,10.284422159194946,8.661232948303223
2,20000,0.2257,10.739423990249634,8.803157091140747
2,20000,0.2256,9.899463176727295,8.542152881622314
2,20000,0.2313,10.671113967895508,9.06465220451355
2,20000,0.2242,10.472903966903687,9.748745918273926
2,30000,0.2272,17.435719966888428,9.35750412940979
2,30000,0.2324,16.74762201309204,10.012458086013794
2,30000,0.2379,19.54086995124817,9.952219009399414
2,30000,0.2313,18.70023512840271,9.462845087051392
2,30000,0.2289,18.509993076324463,9.612762928009033
2,30000,0.2311,17.256809949874878,9.224435806274414
2,30000,0.2313,17.50409698486328,10.077149152755737
2,30000,0.2337,17.785845041275024,10.18143892288208
2,30000,0.2312,17.623899221420288,9.741153001785278
2,30000,0.2333,17.280313968658447,10.057951927185059
2,40000,0.2359,25.82361602783203,9.586890935897827
2,40000,0.2331,24.076601028442383,9.738687992095947
2,40000,0.2454,24.525614023208618,9.850774049758911
2,40000,0.242,24.471375942230225,10.408452033996582
2,40000,0.2407,25.635594844818115,9.592673778533936
2,40000,0.2455,25.049490928649902,10.048596858978271
2,40000,0.2357,25.532184839248657,9.45458984375
2,40000,0.2355,25.684221982955933,10.548911094665527
2,40000,0.2276,24.183300018310547,9.729445934295654
2,40000,0.2379,24.691586017608643,10.089026927947998
2,50000,0.2411,31.77076292037964,10.649611949920654
2,50000,0.2418,30.529266119003296,9.60805606842041
2,50000,0.2387,31.40257215499878,9.96402907371521
2,50000,0.2369,34.01279902458191,10.895151138305664
2,50000,0.2464,31.782275915145874,10.019083023071289
2,50000,0.2354,31.28515601158142,10.127999782562256
2,50000,0.2453,31.211425065994263,10.163993120193481
2,50000,0.2374,30.89371395111084,10.515953063964844
2,50000,0.2334,32.894601821899414,9.45533800125122
2,50000,0.2364,30.43343997001648,10.382802963256836
