Branching Factor,Num Examples,Accuracy,Training Time (s),Test Time (s)
50,1,0.1151,0.0002849102020263672,1.3068711757659912
50,1,0.175,0.00021696090698242188,1.1920371055603027
50,1,0.1407,0.0002090930938720703,1.2306721210479736
50,1,0.1078,0.00020813941955566406,1.378798007965088
50,1,0.1709,0.000186920166015625,1.271345853805542
50,1,0.1435,0.0002110004425048828,1.167525053024292
50,1,0.1468,0.00021886825561523438,1.3651809692382812
50,1,0.1497,0.00022411346435546875,1.3560690879821777
50,1,0.1847,0.0002300739288330078,1.315567970275879
50,1,0.1925,0.00022292137145996094,1.264389991760254
50,10,0.2902,0.0019969940185546875,3.3644120693206787
50,10,0.4043,0.0029740333557128906,3.2116549015045166
50,10,0.2845,0.002888917922973633,3.9330649375915527
50,10,0.2608,0.00215911865234375,3.3501410484313965
50,10,0.4032,0.0019519329071044922,3.355069875717163
50,10,0.3572,0.0019941329956054688,3.933656930923462
50,10,0.2713,0.0019528865814208984,2.6950459480285645
50,10,0.2958,0.0024280548095703125,3.201383113861084
50,10,0.3701,0.002325773239135742,3.6171488761901855
50,10,0.298,0.001993894577026367,3.769484043121338
50,100,0.5567,0.051763057708740234,6.539533853530884
50,100,0.5117,0.04780220985412598,6.820164918899536
50,100,0.5365,0.051399946212768555,7.9808080196380615
50,100,0.5557,0.05634593963623047,9.421757936477661
50,100,0.5015,0.04847407341003418,7.109860897064209
50,100,0.5582,0.06625103950500488,8.749825954437256
50,100,0.5736,0.06225395202636719,7.960620164871216
50,100,0.5398,0.06106901168823242,8.062260866165161
50,100,0.5643,0.0470280647277832,6.6857640743255615
50,100,0.5718,0.055320024490356445,7.643998146057129
50,1000,0.7066,0.973721981048584,13.721984148025513
50,1000,0.7292,1.1090879440307617,15.69004511833191
50,1000,0.7449,1.0814018249511719,14.797318935394287
50,1000,0.7299,1.0567898750305176,14.005936861038208
50,1000,0.7109,1.112360954284668,14.53092885017395
50,1000,0.71,0.8735311031341553,11.865308046340942
50,1000,0.7083,1.0121970176696777,13.100898027420044
50,1000,0.7279,1.024082899093628,13.742307901382446
50,1000,0.7305,1.0875189304351807,14.4547758102417
50,1000,0.7064,1.0372891426086426,14.13250184059143
50,10000,0.8282,20.998453855514526,27.20389699935913
50,10000,0.8363,20.14311122894287,25.911869049072266
50,10000,0.84,20.914457082748413,27.50502896308899
50,10000,0.8416,15.758518934249878,20.488551139831543
50,10000,0.8103,20.591495990753174,26.985069036483765
50,10000,0.8294,15.805284023284912,20.624194860458374
50,10000,0.8411,24.08871603012085,30.400014877319336
50,10000,0.8371,18.273169994354248,24.097697019577026
50,10000,0.8346,16.685099840164185,21.502334117889404
50,10000,0.814,19.12397289276123,26.84088683128357
50,20000,0.8543,56.45699596405029,34.48184418678284
50,20000,0.855,46.18829798698425,29.27042579650879
50,20000,0.8442,41.08956813812256,26.111870050430298
50,20000,0.8453,40.30515003204346,25.57879400253296
50,20000,0.8543,43.44054102897644,28.203140020370483
50,20000,0.847,44.844005823135376,29.514621019363403
50,20000,0.855,43.1209511756897,28.726300954818726
50,20000,0.8339,43.2745041847229,28.24667000770569
50,20000,0.8492,44.519421100616455,28.56208896636963
50,20000,0.842,49.990925788879395,32.41222906112671
50,30000,0.8556,69.75137901306152,29.57950210571289
50,30000,0.8596,73.23052787780762,33.13000202178955
50,30000,0.8602,78.13784503936768,33.90320301055908
50,30000,0.8508,76.12051010131836,33.77918100357056
50,30000,0.8644,73.61393713951111,31.532701015472412
50,30000,0.8544,64.42356991767883,27.66066884994507
50,30000,0.8702,79.97943496704102,35.32414698600769
50,30000,0.8592,61.24368095397949,26.45870614051819
50,30000,0.8632,79.46774792671204,34.90576410293579
50,30000,0.8544,67.1627550125122,29.756930828094482
50,40000,0.8791,123.22866201400757,37.35837197303772
50,40000,0.8616,99.76891803741455,32.27537202835083
50,40000,0.8759,112.899484872818,36.09228801727295
50,40000,0.8636,112.4857530593872,37.218624114990234
50,40000,0.8729,114.74671387672424,36.075746059417725
50,40000,0.8718,112.33824491500854,36.49029779434204
50,40000,0.8765,89.10689401626587,28.720971822738647
50,40000,0.8733,99.94988489151001,32.46788501739502
50,40000,0.8677,97.64361619949341,31.437716960906982
50,40000,0.8751,105.82025980949402,34.01030611991882
50,50000,0.8778,146.374361038208,38.33860397338867
50,50000,0.8764,141.79622197151184,35.67843508720398
50,50000,0.8835,139.24889397621155,35.99433088302612
50,50000,0.8701,127.35089302062988,32.86570692062378
50,50000,0.8797,130.47396278381348,34.76092886924744
50,50000,0.8749,139.38758301734924,35.92563199996948
50,50000,0.8776,137.51999402046204,35.14863300323486
50,50000,0.8693,119.08418703079224,30.573962926864624
50,50000,0.8814,134.3304500579834,36.23733401298523
50,50000,0.8649,127.27066206932068,33.397948026657104
50,60000,0.8762,140.352952003479,29.899923086166382
50,60000,0.879,191.97298097610474,41.09506392478943
50,60000,0.8856,175.67981100082397,38.546146869659424
50,60000,0.8795,182.89692497253418,37.31535005569458
50,60000,0.8882,190.04044103622437,38.832303047180176
50,60000,0.8723,144.30828285217285,30.944231033325195
50,60000,0.8733,149.1476821899414,31.85372304916382
50,60000,0.8841,163.50702714920044,34.054611921310425
50,60000,0.8833,154.65956211090088,32.963659048080444
50,60000,0.8821,158.50757002830505,33.95634889602661
