Branching Factor,Num Examples,Accuracy,Training Time (s),Test Time (s)
20,1,0.1151,0.0002980232238769531,1.2938871383666992
20,1,0.175,0.00022411346435546875,1.1974029541015625
20,1,0.1407,0.0002238750457763672,1.2523949146270752
20,1,0.1078,0.00021505355834960938,1.4023358821868896
20,1,0.1709,0.00019979476928710938,1.3047490119934082
20,1,0.1435,0.0001862049102783203,1.1895580291748047
20,1,0.1468,0.00024700164794921875,1.4002559185028076
20,1,0.1497,0.000186920166015625,1.386397123336792
20,1,0.1847,0.0002269744873046875,1.3444850444793701
20,1,0.1925,0.00022292137145996094,1.273183822631836
20,10,0.2902,0.002042055130004883,3.3611719608306885
20,10,0.4043,0.0026471614837646484,3.224867105484009
20,10,0.2845,0.0029151439666748047,3.964298963546753
20,10,0.2608,0.0021431446075439453,3.374044895172119
20,10,0.4032,0.0019931793212890625,3.388810157775879
20,10,0.3572,0.002000093460083008,3.9636030197143555
20,10,0.2713,0.001967906951904297,2.663285970687866
20,10,0.2958,0.0024809837341308594,3.2072300910949707
20,10,0.3701,0.002106904983520508,3.6570310592651367
20,10,0.298,0.0021371841430664062,3.799984931945801
20,100,0.5567,0.05100393295288086,6.585443019866943
20,100,0.5117,0.05000185966491699,6.8367860317230225
20,100,0.5365,0.052928924560546875,8.063496112823486
20,100,0.5557,0.059168100357055664,9.469295978546143
20,100,0.5015,0.05028390884399414,7.174052000045776
20,100,0.5582,0.06723880767822266,8.796337842941284
20,100,0.5736,0.06686806678771973,8.005517959594727
20,100,0.5398,0.06358599662780762,8.179057121276855
20,100,0.5643,0.05155301094055176,6.738336086273193
20,100,0.5718,0.05625796318054199,7.735809087753296
20,1000,0.7066,0.9823269844055176,13.786341905593872
20,1000,0.7266,1.0935370922088623,14.87959909439087
20,1000,0.7449,1.1143178939819336,14.927504062652588
20,1000,0.7262,1.0867958068847656,13.696233987808228
20,1000,0.7099,1.125319004058838,14.558922052383423
20,1000,0.7125,0.860645055770874,11.63430905342102
20,1000,0.7059,1.00199294090271,13.123453140258789
20,1000,0.7272,1.0559868812561035,13.720316886901855
20,1000,0.7256,1.0831959247589111,14.142628908157349
20,1000,0.7043,1.0242640972137451,13.92546010017395
20,10000,0.8329,17.03342890739441,20.51680302619934
20,10000,0.8304,16.47788405418396,19.90882396697998
20,10000,0.8405,16.671973943710327,19.954624891281128
20,10000,0.8376,15.654791831970215,19.735212802886963
20,10000,0.826,17.749265909194946,21.1261248588562
20,10000,0.8332,15.55406403541565,19.65542507171631
20,10000,0.8376,16.554516077041626,20.33920907974243
20,10000,0.8369,16.963807106018066,20.64678692817688
20,10000,0.8306,16.772916078567505,20.827641010284424
20,10000,0.8258,16.414417028427124,20.29028606414795
20,20000,0.8539,36.63205003738403,21.91978883743286
20,20000,0.854,37.21918511390686,22.1595299243927
20,20000,0.8475,37.436744928359985,22.285187005996704
20,20000,0.8493,36.70027804374695,22.242401123046875
20,20000,0.8489,37.443870067596436,22.511472940444946
20,20000,0.8531,35.339579820632935,21.591765880584717
20,20000,0.8539,35.840765953063965,21.432761907577515
20,20000,0.8466,35.75226616859436,21.830862998962402
20,20000,0.8354,37.41642904281616,23.132125854492188
20,20000,0.8434,37.78640389442444,22.873806953430176
20,30000,0.8651,58.327491998672485,23.264153003692627
20,30000,0.8668,59.03868293762207,23.701775789260864
20,30000,0.863,58.184643030166626,23.215852975845337
20,30000,0.8689,57.13402986526489,22.757235050201416
20,30000,0.8725,60.82550001144409,24.06950306892395
20,30000,0.8596,58.31969118118286,23.3986759185791
20,30000,0.8737,58.32689809799194,23.488418102264404
20,30000,0.8626,57.90300703048706,23.66465997695923
20,30000,0.8674,57.30388689041138,23.16335391998291
20,30000,0.8556,60.04218292236328,24.397571086883545
20,40000,0.8766,78.64151811599731,23.281466960906982
20,40000,0.8716,83.4065990447998,25.10985803604126
20,40000,0.8713,78.80755496025085,23.58721399307251
20,40000,0.8698,81.12449717521667,24.157560110092163
20,40000,0.8767,77.13024687767029,23.095646142959595
20,40000,0.8693,83.00491619110107,24.57911777496338
20,40000,0.874,80.26225090026855,24.245800018310547
20,40000,0.8703,78.41112494468689,23.789359092712402
20,40000,0.8707,81.80496501922607,24.26893711090088
20,40000,0.8683,81.61703896522522,24.135029077529907
20,50000,0.8772,101.81539106369019,23.746122121810913
20,50000,0.8744,102.32890295982361,24.16638207435608
20,50000,0.8816,102.95419192314148,24.476624011993408
20,50000,0.87,110.7987790107727,26.87893509864807
20,50000,0.8799,103.59352016448975,24.50966191291809
20,50000,0.88,100.19329190254211,23.703824996948242
20,50000,0.8834,102.97275805473328,24.633500814437866
20,50000,0.8831,102.02054786682129,24.186214208602905
20,50000,0.8746,106.10260009765625,25.61504292488098
20,50000,0.8682,107.67128396034241,26.028777837753296
20,60000,0.8901,129.66362190246582,25.86540198326111
20,60000,0.8798,128.39749789237976,25.36828112602234
20,60000,0.8842,136.45895791053772,28.345431804656982
20,60000,0.8846,123.91535305976868,24.583118200302124
20,60000,0.8848,124.16039490699768,24.602835178375244
20,60000,0.8754,127.48587393760681,25.434932947158813
20,60000,0.8818,127.65951585769653,25.609142065048218
20,60000,0.885,129.54193592071533,25.43739891052246
20,60000,0.8787,128.12404894828796,25.31746816635132
20,60000,0.8767,127.56133699417114,25.39686894416809
